seed,depth,mode,repair_kind,repair_layers,test_accuracy,best_val_accuracy,energy_collapse_layer,rank_collapse_layer,gradient_contraction_layer,elapsed_seconds,peak_allocated_bytes
0,2,plain,none,,0.6600000262,0.6740000248,,,,0.8746737901,43787264
1,2,plain,none,,0.6630000472,0.65200001,,,,0.4455814539,43787264
2,2,plain,none,,0.6750000119,0.682000041,,,,0.3301103611,43787264
0,4,plain,none,,0.4380000234,0.45600003,3,,,0.8511107031,48081920
1,4,plain,none,,0.5680000186,0.5920000076,3,,,1.199411361,48081920
2,4,plain,none,,0.3180000186,0.3120000064,,2,2,0.3024062722,48081920
0,8,plain,none,,0.2090000063,0.25,8,2,2,1.0002540641,56671232
1,8,plain,none,,0.2340000123,0.2320000082,,2,2,0.521285791,56671232
2,8,plain,none,,0.1830000132,0.226000011,,2,2,0.8931146001,56671232
0,16,plain,none,,0.3130000234,0.3080000281,15,2,2,1.02833664,73849856
1,16,plain,none,,0.1740000099,0.2360000163,,2,2,1.2957379131,73849856
2,16,plain,none,,0.2790000141,0.2720000148,16,2,2,1.0587330509,73849856
0,32,plain,none,,0.3170000017,0.3160000145,32,2,2,1.5471812638,110461952
1,32,plain,none,,0.3190000057,0.3160000145,,2,2,1.4200765279,110461952
2,32,plain,none,,0.2800000012,0.2840000093,32,2,2,2.4515687351,110461952
0,16,targeted,pairnorm,2-16,0.533000052,0.5340000391,7,7,,3.5833833539,104809472
0,16,uniform,pairnorm,1-16,0.5220000148,0.5240000486,2,,,5.9249064301,106890240
0,16,wrong_location,pairnorm,all except 3,0.6960000396,0.6940000057,2,,4,5.6263190631,104809472
0,16,mismatched,residual,2-16,0.6300000548,0.6600000262,15,14,2,3.983527682,83996672
1,16,targeted,pairnorm,2-16,0.65200001,0.6560000181,,,,5.7232764899,104809472
1,16,uniform,pairnorm,1-16,0.6350000501,0.6320000291,2,,,5.811032214,106890240
1,16,wrong_location,pairnorm,all except 4,0.6360000372,0.6480000019,2,,,5.2793583139,104809472
1,16,mismatched,residual,2-16,0.5600000024,0.5879999995,15,14,2,2.5135971599,83996672
2,16,targeted,pairnorm,2-16,0.5890000463,0.6020000577,,,,5.5650314391,104809472
2,16,uniform,pairnorm,1-16,0.6090000272,0.6260000467,2,,3,5.057125154,106890240
2,16,wrong_location,pairnorm,all except 8,0.5800000429,0.5980000496,2,,,3.505627213,104809472
2,16,mismatched,residual,2-16,0.5090000033,0.5240000486,15,14,2,1.5057395848,83996672
